! first line is a count of cells
1024
! then [x,y,z] position of each cell
! and amplitude and phase
! default units for position are model units
! default units for amplitude is Volts
! default units for phase is radians
0.000000mm 	0.000000mm 	0.000000mm 	1.000000mV 	0.000000deg
25.000000mm 	67.000000mm 	0.000000mm 	1.000000mV 	-37.993640deg
0.000000mm 	134.000000mm 	0.000000mm 	1.000000mV 	-55.338563deg
25.000000mm 	201.000000mm 	0.000000mm 	1.000000mV 	-93.332203deg
0.000000mm 	268.000000mm 	0.000000mm 	1.000000mV 	-110.677126deg
25.000000mm 	335.000000mm 	0.000000mm 	1.000000mV 	-148.670766deg
0.000000mm 	402.000000mm 	0.000000mm 	1.000000mV 	-166.015689deg
25.000000mm 	469.000000mm 	0.000000mm 	1.000000mV 	155.990670deg
0.000000mm 	536.000000mm 	0.000000mm 	1.000000mV 	138.645748deg
25.000000mm 	603.000000mm 	0.000000mm 	1.000000mV 	100.652107deg
0.000000mm 	670.000000mm 	0.000000mm 	1.000000mV 	83.307185deg
25.000000mm 	737.000000mm 	0.000000mm 	1.000000mV 	45.313544deg
0.000000mm 	804.000000mm 	0.000000mm 	1.000000mV 	27.968622deg
25.000000mm 	871.000000mm 	0.000000mm 	1.000000mV 	-10.025019deg
0.000000mm 	938.000000mm 	0.000000mm 	1.000000mV 	-27.369941deg
25.000000mm 	1005.000000mm 	0.000000mm 	1.000000mV 	-65.363582deg
0.000000mm 	1072.000000mm 	0.000000mm 	1.000000mV 	-82.708505deg
25.000000mm 	1139.000000mm 	0.000000mm 	1.000000mV 	-120.702145deg
0.000000mm 	1206.000000mm 	0.000000mm 	1.000000mV 	-138.047068deg
25.000000mm 	1273.000000mm 	0.000000mm 	1.000000mV 	-176.040708deg
0.000000mm 	1340.000000mm 	0.000000mm 	1.000000mV 	166.614369deg
25.000000mm 	1407.000000mm 	0.000000mm 	1.000000mV 	128.620729deg
0.000000mm 	1474.000000mm 	0.000000mm 	1.000000mV 	111.275806deg
25.000000mm 	1541.000000mm 	0.000000mm 	1.000000mV 	73.282166deg
0.000000mm 	1608.000000mm 	0.000000mm 	1.000000mV 	55.937243deg
25.000000mm 	1675.000000mm 	0.000000mm 	1.000000mV 	17.943603deg
0.000000mm 	1742.000000mm 	0.000000mm 	1.000000mV 	0.598680deg
25.000000mm 	1809.000000mm 	0.000000mm 	1.000000mV 	-37.394960deg
0.000000mm 	1876.000000mm 	0.000000mm 	1.000000mV 	-54.739883deg
25.000000mm 	1943.000000mm 	0.000000mm 	1.000000mV 	-92.733523deg
0.000000mm 	2010.000000mm 	0.000000mm 	1.000000mV 	-110.078446deg
25.000000mm 	2077.000000mm 	0.000000mm 	1.000000mV 	-148.072086deg
50.000000mm 	0.000000mm 	0.000000mm 	1.000000mV 	-20.648718deg
75.000000mm 	67.000000mm 	0.000000mm 	1.000000mV 	-58.642358deg
50.000000mm 	134.000000mm 	0.000000mm 	1.000000mV 	-75.987281deg
75.000000mm 	201.000000mm 	0.000000mm 	1.000000mV 	-113.980921deg
50.000000mm 	268.000000mm 	0.000000mm 	1.000000mV 	-131.325844deg
75.000000mm 	335.000000mm 	0.000000mm 	1.000000mV 	-169.319484deg
50.000000mm 	402.000000mm 	0.000000mm 	1.000000mV 	173.335593deg
75.000000mm 	469.000000mm 	0.000000mm 	1.000000mV 	135.341953deg
50.000000mm 	536.000000mm 	0.000000mm 	1.000000mV 	117.997030deg
75.000000mm 	603.000000mm 	0.000000mm 	1.000000mV 	80.003390deg
50.000000mm 	670.000000mm 	0.000000mm 	1.000000mV 	62.658467deg
75.000000mm 	737.000000mm 	0.000000mm 	1.000000mV 	24.664827deg
50.000000mm 	804.000000mm 	0.000000mm 	1.000000mV 	7.319904deg
75.000000mm 	871.000000mm 	0.000000mm 	1.000000mV 	-30.673736deg
50.000000mm 	938.000000mm 	0.000000mm 	1.000000mV 	-48.018659deg
75.000000mm 	1005.000000mm 	0.000000mm 	1.000000mV 	-86.012299deg
50.000000mm 	1072.000000mm 	0.000000mm 	1.000000mV 	-103.357222deg
75.000000mm 	1139.000000mm 	0.000000mm 	1.000000mV 	-141.350862deg
50.000000mm 	1206.000000mm 	0.000000mm 	1.000000mV 	-158.695785deg
75.000000mm 	1273.000000mm 	0.000000mm 	1.000000mV 	163.310575deg
50.000000mm 	1340.000000mm 	0.000000mm 	1.000000mV 	145.965652deg
75.000000mm 	1407.000000mm 	0.000000mm 	1.000000mV 	107.972011deg
50.000000mm 	1474.000000mm 	0.000000mm 	1.000000mV 	90.627089deg
75.000000mm 	1541.000000mm 	0.000000mm 	1.000000mV 	52.633448deg
50.000000mm 	1608.000000mm 	0.000000mm 	1.000000mV 	35.288526deg
75.000000mm 	1675.000000mm 	0.000000mm 	1.000000mV 	-2.705115deg
50.000000mm 	1742.000000mm 	0.000000mm 	1.000000mV 	-20.050037deg
75.000000mm 	1809.000000mm 	0.000000mm 	1.000000mV 	-58.043678deg
50.000000mm 	1876.000000mm 	0.000000mm 	1.000000mV 	-75.388601deg
75.000000mm 	1943.000000mm 	0.000000mm 	1.000000mV 	-113.382241deg
50.000000mm 	2010.000000mm 	0.000000mm 	1.000000mV 	-130.727164deg
75.000000mm 	2077.000000mm 	0.000000mm 	1.000000mV 	-168.720804deg
100.000000mm 	0.000000mm 	0.000000mm 	1.000000mV 	-41.297435deg
125.000000mm 	67.000000mm 	0.000000mm 	1.000000mV 	-79.291075deg
100.000000mm 	134.000000mm 	0.000000mm 	1.000000mV 	-96.635998deg
125.000000mm 	201.000000mm 	0.000000mm 	1.000000mV 	-134.629639deg
100.000000mm 	268.000000mm 	0.000000mm 	1.000000mV 	-151.974561deg
125.000000mm 	335.000000mm 	0.000000mm 	1.000000mV 	170.031798deg
100.000000mm 	402.000000mm 	0.000000mm 	1.000000mV 	152.686876deg
125.000000mm 	469.000000mm 	0.000000mm 	1.000000mV 	114.693235deg
100.000000mm 	536.000000mm 	0.000000mm 	1.000000mV 	97.348313deg
125.000000mm 	603.000000mm 	0.000000mm 	1.000000mV 	59.354672deg
100.000000mm 	670.000000mm 	0.000000mm 	1.000000mV 	42.009750deg
125.000000mm 	737.000000mm 	0.000000mm 	1.000000mV 	4.016109deg
100.000000mm 	804.000000mm 	0.000000mm 	1.000000mV 	-13.328814deg
125.000000mm 	871.000000mm 	0.000000mm 	1.000000mV 	-51.322454deg
100.000000mm 	938.000000mm 	0.000000mm 	1.000000mV 	-68.667377deg
125.000000mm 	1005.000000mm 	0.000000mm 	1.000000mV 	-106.661017deg
100.000000mm 	1072.000000mm 	0.000000mm 	1.000000mV 	-124.005940deg
125.000000mm 	1139.000000mm 	0.000000mm 	1.000000mV 	-161.999580deg
100.000000mm 	1206.000000mm 	0.000000mm 	1.000000mV 	-179.344503deg
125.000000mm 	1273.000000mm 	0.000000mm 	1.000000mV 	142.661857deg
100.000000mm 	1340.000000mm 	0.000000mm 	1.000000mV 	125.316934deg
125.000000mm 	1407.000000mm 	0.000000mm 	1.000000mV 	87.323294deg
100.000000mm 	1474.000000mm 	0.000000mm 	1.000000mV 	69.978371deg
125.000000mm 	1541.000000mm 	0.000000mm 	1.000000mV 	31.984731deg
100.000000mm 	1608.000000mm 	0.000000mm 	1.000000mV 	14.639808deg
125.000000mm 	1675.000000mm 	0.000000mm 	1.000000mV 	-23.353832deg
100.000000mm 	1742.000000mm 	0.000000mm 	1.000000mV 	-40.698755deg
125.000000mm 	1809.000000mm 	0.000000mm 	1.000000mV 	-78.692395deg
100.000000mm 	1876.000000mm 	0.000000mm 	1.000000mV 	-96.037318deg
125.000000mm 	1943.000000mm 	0.000000mm 	1.000000mV 	-134.030958deg
100.000000mm 	2010.000000mm 	0.000000mm 	1.000000mV 	-151.375881deg
125.000000mm 	2077.000000mm 	0.000000mm 	1.000000mV 	170.630479deg
150.000000mm 	0.000000mm 	0.000000mm 	1.000000mV 	-61.946153deg
175.000000mm 	67.000000mm 	0.000000mm 	1.000000mV 	-99.939793deg
150.000000mm 	134.000000mm 	0.000000mm 	1.000000mV 	-117.284716deg
175.000000mm 	201.000000mm 	0.000000mm 	1.000000mV 	-155.278356deg
150.000000mm 	268.000000mm 	0.000000mm 	1.000000mV 	-172.623279deg
175.000000mm 	335.000000mm 	0.000000mm 	1.000000mV 	149.383081deg
150.000000mm 	402.000000mm 	0.000000mm 	1.000000mV 	132.038158deg
175.000000mm 	469.000000mm 	0.000000mm 	1.000000mV 	94.044518deg
150.000000mm 	536.000000mm 	0.000000mm 	1.000000mV 	76.699595deg
175.000000mm 	603.000000mm 	0.000000mm 	1.000000mV 	38.705955deg
150.000000mm 	670.000000mm 	0.000000mm 	1.000000mV 	21.361032deg
175.000000mm 	737.000000mm 	0.000000mm 	1.000000mV 	-16.632608deg
150.000000mm 	804.000000mm 	0.000000mm 	1.000000mV 	-33.977531deg
175.000000mm 	871.000000mm 	0.000000mm 	1.000000mV 	-71.971171deg
150.000000mm 	938.000000mm 	0.000000mm 	1.000000mV 	-89.316094deg
175.000000mm 	1005.000000mm 	0.000000mm 	1.000000mV 	-127.309734deg
150.000000mm 	1072.000000mm 	0.000000mm 	1.000000mV 	-144.654657deg
175.000000mm 	1139.000000mm 	0.000000mm 	1.000000mV 	177.351702deg
150.000000mm 	1206.000000mm 	0.000000mm 	1.000000mV 	160.006780deg
175.000000mm 	1273.000000mm 	0.000000mm 	1.000000mV 	122.013139deg
150.000000mm 	1340.000000mm 	0.000000mm 	1.000000mV 	104.668217deg
175.000000mm 	1407.000000mm 	0.000000mm 	1.000000mV 	66.674576deg
150.000000mm 	1474.000000mm 	0.000000mm 	1.000000mV 	49.329654deg
175.000000mm 	1541.000000mm 	0.000000mm 	1.000000mV 	11.336013deg
